Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Confidence 64,70,2x1,2,2x1,1.0699,1.7414,,Definition AS,2,,,Neurologica,2
Confidence 64,70,1x5,5,1x5,1.0661,1.7500,,Somatom Flash A tube,3,,,,
Confidence 64,70,10x0.6,6,20x0.6,1.0645,1.7246,,Somatom Force,4,,,,
Confidence 64,70,6x1.2,7.2,6x1.2,1.0678,1.7333,,Somatom Drive,5,,,,
Confidence 64,70,1x10,10,1x10,1.0661,1.7500,,Definition Edge,6,,,,
Confidence 64,70,20x0.6,12,40x0.6,1.0632,1.7429,,go.Top,7,,,,
Confidence 64,70,12x1.2,14.4,12x1.2,1.0699,1.7313,,Confidence 64,8,,,,
Confidence 64,70,32x0.6,19.2,64x0.6,1.0617,1.7121,,Confidence 20,9,,,,
Confidence 64,70,16x1.2,19.2,16x1.2,1.0698,1.7344,,X.cite,10,,,,
Confidence 64,80,2x1,2,2x1,1.0438,1.6117,,Biograph Vision,11,,,,
Confidence 64,80,1x5,5,1x5,1.0439,1.6196,,Intevo Bold,12,,,,
Confidence 64,80,10x0.6,6,20x0.6,1.0423,1.6066,,Symbia Pro.specta,13,,,,
Confidence 64,80,6x1.2,7.2,6x1.2,1.0458,1.6090,,Pro.Pulse A tube,14,,,,
Confidence 64,80,1x10,10,1x10,1.0439,1.6196,,Pro.Pulse B tube,15,,,,
Confidence 64,80,20x0.6,12,40x0.6,1.0414,1.6129,,BodyTom,16,,,,
Confidence 64,80,12x1.2,14.4,12x1.2,1.0457,1.6186,,Somatom Flash B tube,17,,,,
Confidence 64,80,32x0.6,19.2,64x0.6,1.0406,1.6034,,,,,,,
Confidence 64,80,16x1.2,19.2,16x1.2,1.0457,1.6195,,,,,,,
Confidence 64,100,2x1,2,2x1,1.0204,1.4889,,,,,,,
Confidence 64,100,1x5,5,1x5,1.0214,1.4901,,,,,,,
Confidence 64,100,10x0.6,6,20x0.6,1.0161,1.4794,,,,,,,
Confidence 64,100,6x1.2,7.2,6x1.2,1.0211,1.4897,,,,,,,
Confidence 64,100,1x10,10,1x10,1.0214,1.4901,,,,,,,
Confidence 64,100,20x0.6,12,40x0.6,1.0168,1.4816,,,,,,,
Confidence 64,100,12x1.2,14.4,12x1.2,1.0216,1.4903,,,,,,,
Confidence 64,100,32x0.6,19.2,64x0.6,1.0160,1.4764,,,,,,,
Confidence 64,100,16x1.2,19.2,16x1.2,1.0216,1.4939,,,,,,,
Confidence 64,120,2x1,2,2x1,1.0121,1.4328,,,,,,,
Confidence 64,120,1x5,5,1x5,1.0120,1.4332,,,,,,,
Confidence 64,120,10x0.6,6,20x0.6,1.0085,1.4148,,,,,,,
Confidence 64,120,6x1.2,7.2,6x1.2,1.0115,1.4318,,,,,,,
Confidence 64,120,1x10,10,1x10,1.0120,1.4332,,,,,,,
Confidence 64,120,20x0.6,12,40x0.6,1.0083,1.4153,,,,,,,
Confidence 64,120,12x1.2,14.4,12x1.2,1.0117,1.4331,,,,,,,
Confidence 64,120,32x0.6,19.2,64x0.6,1.0083,1.4156,,,,,,,
Confidence 64,120,16x1.2,19.2,16x1.2,1.0116,1.4324,,,,,,,
Confidence 64,140,2x1,2,2x1,1.0075,1.3961,,,,,,,
Confidence 64,140,1x5,5,1x5,1.0074,1.3967,,,,,,,
Confidence 64,140,10x0.6,6,20x0.6,1.0048,1.3882,,,,,,,
Confidence 64,140,6x1.2,7.2,6x1.2,1.0073,1.3967,,,,,,,
Confidence 64,140,1x10,10,1x10,1.0074,1.3967,,,,,,,
Confidence 64,140,20x0.6,12,40x0.6,1.0043,1.3890,,,,,,,
Confidence 64,140,12x1.2,14.4,12x1.2,1.0074,1.3949,,,,,,,
Confidence 64,140,32x0.6,19.2,64x0.6,1.0046,1.3887,,,,,,,
Confidence 64,140,16x1.2,19.2,16x1.2,1.0073,1.3968,,,,,,,
Confidence 20,70,2x1,2,2x1,1.0699,2.0147,,,,,,,
Confidence 20,70,1x5,5,1x5,1.0661,2.0000,,,,,,,
Confidence 20,70,10x0.6,6,10x0.6,1.0706,2.0119,,,,,,,
Confidence 20,70,6x1.2,7.2,6x1.2,1.0678,2.0000,,,,,,,
Confidence 20,70,1x10,10,1x10,1.0661,2.0000,,,,,,,
Confidence 20,70,20x0.6,12,20x0.6,1.0661,2.0000,,,,,,,
Confidence 20,70,12x1.2,14.4,12x1.2,1.0699,1.9873,,,,,,,
